state,rain_pct,rain_dol,rain_color,totbal_pct,totbal_dol,totbal_color,totbal_rain_pct_dif
Washington,3.511,1250400000.0,#D5AB53,7.578,2698600000.0,#3477A5,4.067
Maryland,7.924,2184900000.0,#D5AB53,8.907,2455790700.0,#3477A5,0.9829999999999997
Louisiana,9.415999999999999,1226600000.0,#D5AB53,9.423,1227598080.0,#3477A5,0.0070000000000014495
Mississippi,9.577,673300000.0,#D5AB53,9.665,679500000.0,#3477A5,0.08799999999999919
Illinois,4.263999999999999,2357113100.0,#D5AB53,9.868,5455775970.0,#3477A5,5.604000000000001
Rhode Island,6.297,352500000.0,#D5AB53,10.41,582713050.0,#3477A5,4.113
Indiana,7.989,1826100000.0,#D5AB53,10.949,2502600000.0,#3477A5,2.96
New Hampshire,12.191,245000000.0,#D5AB53,12.191,245000000.0,#3477A5,0.0
Colorado,12.659999999999998,2334000000.0,#D5AB53,12.659999999999998,2334000000.0,#3477A5,0.0
Virginia,12.994,4749500000.0,#D5AB53,13.031,4762900000.0,#3477A5,0.03700000000000081
New Jersey,0.0,0.0,#D5AB53,14.404,8305900000.0,#3477A5,14.404
North Carolina,11.584999999999999,3622420000.0,#EED17E,14.435,4513420000.0,#74AAC7,2.8500000000000014
Utah,9.375,1186600000.0,#D5AB53,15.049999999999999,1904900000.0,#3477A5,5.674999999999999
Ohio,12.690999999999999,3942529430.0,#D5AB53,16.293,5061479820.0,#3477A5,3.6020000000000003
Tennessee,9.297,2150000000.0,#D5AB53,19.697,4555200000.0,#3477A5,10.399999999999999
Michigan,13.969000000000001,2148600000.0,#D5AB53,19.842000000000002,3051900000.0,#3477A5,5.873000000000001
Connecticut,18.462999999999997,4326500000.0,#D5AB53,20.085,4706600000.0,#3477A5,1.6220000000000034
South Dakota,13.222000000000001,322800000.0,#D5AB53,20.152,492000000.0,#3477A5,6.93
Minnesota,9.937,3527370000.0,#D5AB53,21.028,7464476000.0,#3477A5,11.091
Maine,18.683,1030000000.0,#D5AB53,21.518,1186300000.0,#3477A5,2.835000000000001
Pennsylvania,15.638,7491000000.0,#D5AB53,21.679000000000002,10385000000.0,#3477A5,6.041000000000002
Vermont,12.486,328200000.0,#D5AB53,22.261,585130000.0,#3477A5,9.774999999999999
California,15.366,35891484000.0,#D5AB53,23.072,53892065000.0,#3477A5,7.7059999999999995
Arizona,9.512,1545300000.0,#D5AB53,24.416,3966400000.0,#3477A5,14.904
Massachusetts,15.733,8227300000.0,#D5AB53,25.023,13085600000.0,#3477A5,9.29
New Mexico,25.182,3473500000.0,#D5AB53,25.182,3473472800.0,#3477A5,0.0
Oregon,17.174,2923400000.0,#D5AB53,29.032999999999998,4942100000.0,#3477A5,11.858999999999998
Nebraska,16.021,877100000.0,#D5AB53,30.495,1669500000.0,#3477A5,14.474
Wisconsin,9.261999999999999,1991000000.0,#D5AB53,30.686999999999998,6596554550.0,#3477A5,21.424999999999997
Arkansas,28.754999999999995,1814900000.0,#D5AB53,32.159,2029700000.0,#3477A5,3.4040000000000035
Hawaii,14.451,1568000000.0,#D5AB53,32.965,3577000000.0,#3477A5,18.514000000000003
Iowa,10.401,929900000.0,#D5AB53,33.475,2992800000.0,#3477A5,23.074
Kentucky,30.318,4811500000.0,#D5AB53,33.591,5330958000.0,#3477A5,3.2729999999999997
Florida,8.349,4440600000.0,#D5AB53,34.243,18213700000.0,#3477A5,25.894000000000002
Alabama,19.429,2750100000.0,#D5AB53,34.599999999999994,4897600000.0,#3477A5,15.170999999999996
Montana,14.083000000000002,521764260.0,#D5AB53,34.838,1290718260.0,#3477A5,20.755
Texas,24.549000000000003,24282311000.0,#D5AB53,35.394,35009438460.0,#3477A5,10.844999999999995
Nevada,18.667,1243622730.0,#D5AB53,36.201,2411756190.0,#3477A5,17.534
Missouri,6.755999999999999,954560120.0,#D5AB53,37.354,5277667220.0,#3477A5,30.598
Georgia,15.394,5582900000.0,#D5AB53,40.357,14635828000.0,#3477A5,24.963
Delaware,5.035,348700000.0,#D5AB53,42.241,2925320000.0,#3477A5,37.206
Alaska,42.384,2730100000.0,#D5AB53,42.384,2730100000.0,#3477A5,0.0
Oklahoma,16.771,1776100000.0,#D5AB53,44.096999999999994,4670000000.0,#3477A5,27.325999999999993
Kansas,18.325,1890200000.0,#D5AB53,46.762,4823438170.0,#3477A5,28.437
South Carolina,10.424,1441700000.0,#D5AB53,47.75,6604200000.0,#3477A5,37.326
Idaho,40.615,2172000000.0,#D5AB53,48.463,2591700000.0,#3477A5,7.847999999999999
West Virginia,22.56,1347400000.0,#D5AB53,52.805,3153800000.0,#3477A5,30.245
New York,8.337,8756000000.0,#D5AB53,54.190000000000005,56916000000.0,#3477A5,45.85300000000001
Wyoming,87.717,1721000000.0,#D5AB53,87.717,1721000000.0,#3477A5,0.0
North Dakota,37.773,938500000.0,#D5AB53,92.136,2289200000.0,#3477A5,54.36299999999999
