state_str,state_abbrev,domesticmig_pctchg2025,domesticmig_pctchg_pct2025,netdomesticmig_rank_2025,uhaul2025_rank,uvl_net_pct_2025,uvl_net_pct_rank_2025
South Carolina,SC,0.01213445637737427,1.213445637737427,1,5,0.2159755787331468,3
Idaho,ID,0.009953160422055983,0.9953160422055983,2,8,0.15598290598290598,6
North Carolina,NC,0.00760618313633991,0.760618313633991,3,3,0.1554789068718493,7
Delaware,DE,0.006527806742638719,0.652780674263872,4,33,0.19298245614035087,4
Tennessee,TN,0.005845717679789709,0.5845717679789709,5,4,0.12027661150901457,15
Montana,MT,0.005580379708445379,0.5580379708445379,6,12,0.04749679075738126,20
Maine,ME,0.005258307429933018,0.5258307429933018,7,15,0.032490974729241874,26
Arkansas,AR,0.004675266788971861,0.4675266788971861,8,13,0.14494264859228362,8
New Hampshire,NH,0.004653117674037534,0.4653117674037534,9,32,-0.012658227848101266,32
Nevada,NV,0.004583925892480904,0.45839258924809045,10,20,0.1400560224089636,10
Alabama,AL,0.004524065693663926,0.45240656936639256,11,9,0.14194236926360726,9
Arizona,AZ,0.004116629770907509,0.4116629770907509,12,7,0.13086642599277978,13
West Virginia,WV,0.0036256607155587695,0.36256607155587695,13,34,0.24232081911262798,2
Oklahoma,OK,0.0035365680452579193,0.35365680452579196,14,14,0.06310679611650485,17
Wyoming,WY,0.0025122630479170716,0.25122630479170716,15,30,-0.07853403141361257,39
Georgia,GA,0.0024395298623517163,0.24395298623517161,16,10,0.03392990305741984,25
South Dakota,SD,0.00233952821132336,0.23395282113233598,17,18,0.005076142131979695,30
Missouri,MO,0.002246800855411606,0.2246800855411606,18,29,0.039057239057239054,22
Texas,TX,0.002148852352108707,0.2148852352108707,19,1,0.013956817368483837,28
Indiana,IN,0.0017588223028531366,0.17588223028531366,20,25,0.13952357802625182,11
Kentucky,KY,0.0015857170717745851,0.15857170717745853,21,17,0.034639409426462237,24
Minnesota,MN,0.0014316750339160365,0.14316750339160364,22,19,0.16319824753559695,5
Wisconsin,WI,0.001172369152590627,0.11723691525906269,23,26,0.06723891273247497,16
Washington,WA,0.0011652433072930003,0.11652433072930003,24,6,-0.04728720756595321,36
Ohio,OH,0.0010055122746102417,0.10055122746102417,25,43,-0.021812457836743872,35
Florida,FL,0.0009678138393295784,0.09678138393295783,26,2,0.0438178551901898,21
Utah,UT,0.0009543294957469106,0.09543294957469106,27,16,0.04945717732207479,19
Virginia,VA,0.000710686442828405,0.0710686442828405,28,36,0.035592393954168695,23
North Dakota,ND,0.0006453344962798735,0.06453344962798735,29,38,-0.13253012048192772,45
Oregon,OR,0.0005223518776064843,0.052235187760648435,30,11,0.2899022801302932,1
Michigan,MI,0.0001778224512131828,0.01778224512131828,31,41,-0.01755466584539575,33
Kansas,KS,-0.00017502728267277114,-0.017502728267277112,32,37,0.0016638935108153079,31
Nebraska,NE,-0.00018248984962537226,-0.018248984962537226,33,39,-0.08876811594202899,41
Pennsylvania,PA,-0.0002250524458049795,-0.02250524458049795,34,44,-0.020828457758015447,34
Iowa,IA,-0.0003002673927565599,-0.03002673927565599,35,35,0.03006012024048096,27
Mississippi,MS,-0.0003108293346964177,-0.03108293346964177,36,21,-0.09826589595375723,43
New Mexico,NM,-0.0010659336629091761,-0.10659336629091762,37,22,0.05805609915198956,18
Vermont,VT,-0.0011229333617933524,-0.11229333617933525,38,24,,
Rhode Island,RI,-0.0013967750795873615,-0.13967750795873615,39,40,0.12146422628951747,14
Connecticut,CT,-0.0016179296542148224,-0.16179296542148225,40,42,-0.07062314540059347,38
Maryland,MD,-0.0019417758658731971,-0.1941775865873197,41,45,-0.04730538922155689,37
Colorado,CO,-0.002020538692314038,-0.20205386923140378,42,23,-0.09965324890698025,44
Louisiana,LA,-0.003117525533719418,-0.3117525533719418,43,31,0.013173652694610778,29
Illinois,IL,-0.003150192556376103,-0.3150192556376103,44,49,-0.08686131386861314,40
New Jersey,NJ,-0.003937156137884199,-0.39371561378841985,45,48,-0.24663115010968348,48
Massachusetts,MA,-0.004670409718486641,-0.4670409718486641,46,46,-0.09346092503987241,42
California,CA,-0.005819339900185887,-0.5819339900185887,47,50,-0.1562664791703287,46
District of Columbia,DC,-0.005971271932996774,-0.5971271932996773,48,,0.13876651982378854,12
Alaska,AK,-0.00614361532414529,-0.6143615324145291,49,27,,
Hawaii,HI,-0.006185572757834408,-0.6185572757834409,50,28,,
New York,NY,-0.006878811948292269,-0.6878811948292268,51,47,-0.15689332501559575,47
